name,country,field,year
Artturi Ilmari Virtanen, Finland, Chemistry, 1945
Frans Eemil Sillanpää, Finland, Literature, 1939
Jean-Pierre Sauvage, France, Chemistry, 2016
Jean Tirole, France, Economics, 2014
Patrick Modiano, France, Literature, 2014
Serge Haroche, France, Physics, 2012
Jules A. Hoffmann, France, Physiology or Medicine, 2011
J. M. G. Le Clézio, France, Literature, 2008
Luc Montagnier, France, Physiology or Medicine, 2008
Françoise Barré-Sinoussi, France, Physiology or Medicine, 2008
Albert Fert, France, Physics, 2007
Yves Chauvin, France, Chemistry, 2005
Médecins Sans Frontières, France, Peace, 1999
Claude Cohen-Tannoudji, France, Physics, 1997
Georges Charpak, France, Physics, 1992
Pierre-Gilles de Gennes, France, Physics, 1991
Maurice Allais, France, Economics, 1988
Jean-Marie Lehn, France, Chemistry, 1987
Claude Simon, France, Literature, 1985
Gérard Debreu, France, Economics, 1983
Jean Dausset, France, Physiology or Medicine, 1980
Roger Guillemin, France, Physiology or Medicine, 1977
Seán MacBride, France, Peace, 1974
Louis Néel, France, Physics, 1970
René Cassin, France, Peace, 1968
Alfred Kastler, France, Physics, 1966
François Jacob, France, Physiology or Medicine, 1965
Jacques Monod, France, Physiology or Medicine, 1965
André Lwoff, France, Physiology or Medicine, 1965
Jean-Paul Sartre, France, Literature, 1964
Saint-John Perse, France, Literature, 1960
Albert Camus, France, Literature, 1957
André Frédéric Cournand, France, Physiology or Medicine, 1956
François Mauriac, France, Literature, 1952
Albert Schweitzer, France, Peace, 1952
Léon Jouhaux, France, Peace, 1951
André Gide, France, Literature, 1947
Roger Martin du Gard, France, Literature, 1937
Frédéric Joliot-Curie, France, Chemistry, 1935
Irène Joliot-Curie, France, Chemistry, 1935
Ivan Bunin, France, Literature, 1933
Louis de Broglie, France, Physics, 1929
Charles Nicolle, France, Physiology or Medicine, 1928
Henri Bergson, France, Literature, 1927
Ferdinand Buisson, France, Peace, 1927
Aristide Briand, France, Peace, 1926
Jean Baptiste Perrin, France, Physics, 1926
Anatole France, France, Literature, 1921
Léon Bourgeois, France, Peace, 1920
Romain Rolland, France, Literature, 1915
Alfred Werner, France, Chemistry, 1913
Charles Richet, France, Physiology or Medicine, 1913
Alexis Carrel, France, Medicine, 1912
Paul Sabatier, France, Chemistry, 1912
Victor Grignard, France, Chemistry, 1912
Marie Curie, France, Chemistry, 1911
Paul-Henri-Benjamin d'Estournelles de Constant, France, Peace, 1909
Gabriel Lippmann, France, Physics, 1908
Charles Louis Alphonse Laveran, France, Physiology or Medicine, 1907
Louis Renault, France, Peace, 1907
Henri Moissan, France, Chemistry, 1906
Frédéric Mistral, France, Literature, 1904
Antoine Henri Becquerel, France, Physics, 1903
Pierre Curie, France, Physics, 1903
Henry Dunant, France, Peace, 1901
Frédéric Passy, France, Peace, 1901
Sully Prudhomme, France, Literature, 1901
Stefan Hell, Germany, Chemistry, 2014
Thomas C. Südhof, Germany, Physiology or Medicine, 2013
Herta Müller, Germany, Literature, 2009
Harald zur Hausen, Germany, Physiology or Medicine, 2008
Gerhard Ertl, Germany, Chemistry, 2007
Peter Grünberg, Germany, Physics, 2007
Theodor W. Hänsch, Germany, Physics, 2005
Wolfgang Ketterle, Germany, Physics, 2001
Herbert Kroemer, Germany, Physics, 2000
Günter Blobel, Germany, Physiology or Medicine, 1999
Günter Grass, Germany, Literature, 1999
Horst L. Störmer, Germany, Physics, 1998
Paul J. Crutzen, Germany, Chemistry, 1995
Christiane Nüsslein-Volhard, Germany, Physiology or Medicine, 1995
Reinhard Selten, Germany, Economics, 1994
Bert Sakmann, Germany, Physiology or Medicine, 1991
Erwin Neher, Germany, Physiology or Medicine, 1991
Hans G. Dehmelt, Germany, Physics, 1989
Wolfgang Paul, Germany, Physics, 1989
Johann Deisenhofer, Germany, Chemistry, 1988
Robert Huber, Germany, Chemistry, 1988
Hartmut Michel, Germany, Chemistry, 1988
Jack Steinberger, Germany, Physics, 1988
J. Georg Bednorz, Germany, Physics, 1987
Ernst Ruska, Germany, Physics, 1986
Gerd Binnig, Germany, Physics, 1986
Klaus von Klitzing, Germany, Physics, 1985
Georges J.F. Köhler, Germany, Physiology or Medicine, 1984
Georg Wittig, Germany, Chemistry, 1979
Arno Penzias, Germany, Physics, 1978
Henry Kissinger, Germany, Peace, 1978
Ernst Otto Fischer, Germany, Chemistry, 1973
Karl Ritter von Frisch, Germany, Physiology or Medicine, 1973
Heinrich Böll, Germany, Literature, 1972
Willy Brandt, Germany, Peace, 1971
Bernard Katz, Germany, Physiology or Medicine, 1970
Max Delbrück, Germany, Physiology or Medicine, 1969
Manfred Eigen, Germany, Chemistry, 1967
Hans Albrecht Bethe, Germany, Physics, 1967
Nelly Sachs, Germany, Literature, 1966
Feodor Felix Konrad Lynen, Germany, Physiology or Medicine, 1964
Konrad Bloch, Germany, Physiology or Medicine, 1964
Karl Ziegler, Germany, Chemistry, 1963
Maria Goeppert-Mayer, Germany, Physics, 1963
J. Hans D. Jensen, Germany, Physics, 1963
Rudolf Mössbauer, Germany, Physics, 1961
Werner Forssmann, Germany, Physiology or Medicine, 1956
Polykarp Kusch, Germany, Physics, 1955
Max Born, Germany, Physics, 1954
Walther Bothe, Germany, Physics, 1954
Hermann Staudinger, Germany, Chemistry, 1953
Fritz Albert Lipmann, Germany, Physiology or Medicine, 1953
Hans Adolf Krebs, Germany, Physiology or Medicine, 1953
Otto Diels, Germany, Chemistry, 1950
Kurt Alder, Germany, Chemistry, 1950
Herman Hesse, Germany, Literature, 1946
Ernst Boris Chain, Germany, Physiology or Medicine, 1945
Otto Hahn, Germany, Chemistry, 1944
Otto Stern, Germany, Physics, 1943
Adolf Butenandt, Germany, Chemistry, 1939
Gerhard Domagk, Germany, Physiology or Medicine, 1939
Carl von Ossietzky, Germany, Peace, 1935
Hans Spemann, Germany, Physiology or Medicine, 1935
Werner Karl Heisenberg, Germany, Physics, 1932
Otto Heinrich Warburg, Germany, Physiology or Medicine, 1931
Carl Bosch, Germany, Chemistry, 1931
Friedrich Bergius, Germany, Chemistry, 1931
Hans Fischer, Germany, Chemistry, 1930
Thomas Mann, Germany, Literature, 1929
Hans von Euler-Chelpin, Germany, Chemistry, 1929
Adolf Otto Reinhold Windaus, Germany, Chemistry, 1928
Ludwig Quidde, Germany, Peace, 1927
Heinrich Otto Wieland, Germany, Chemistry, 1927
Gustav Stresemann, Germany, Peace, 1926
James Franck, Germany, Physics, 1925
Gustav Ludwig Hertz, Germany, Physics, 1925
Otto Fritz Meyerhof, Germany, Physiology or Medicine, 1922
Albert Einstein, Germany, Physics, 1921
Walther Nernst, Germany, Chemistry, 1920
Johannes Stark, Germany, Physics, 1919
Fritz Haber, Germany, Chemistry, 1918
Max Karl Ernst Ludwig Planck, Germany, Physics, 1918
Richard Willstätter, Germany, Chemistry, 1915
Max von Laue, Germany, Physics, 1914
Gerhart Hauptmann, Germany, Literature, 1912
Wilhelm Wien, Germany, Physics, 1911
Otto Wallach, Germany, Chemistry, 1910
Albrecht Kossel, Germany, Physiology or Medicine, 1910
Paul Johann Ludwig Heyse, Germany, Literature, 1910
Karl Ferdinand Braun, Germany, Physics, 1909
Wilhelm Ostwald, Germany, Chemistry, 1909
Rudolf Christoph Eucken, Germany, Literature, 1908
Paul Ehrlich, Germany, Physiology or Medicine, 1908
Eduard Buchner, Germany, Chemistry, 1907
Robert Koch, Germany, Physiology or Medicine, 1905
Philipp Lenard, Germany, Physics, 1905
Adolf von Baeyer, Germany, Chemistry, 1905
Hermann Emil Fischer, Germany, Chemistry, 1902
Theodor Mommsen, Germany, Literature, 1902
Emil Adolf von Behring, Germany, Physiology or Medicine, 1901
Wilhelm Conrad Röntgen, Germany, Physics, 1901
Kofi Annan, Ghana, Peace, 2001
Odysseas Elytis, Greece, Literature, 1979
Giorgos Seferis, Greece, Literature, 1963
Rigoberta Menchú, Guatemala, Peace, 1992
Miguel Ángel Asturias, Guatemala, Literature, 1967
Avram Hershko, Hungary, Chemistry, 2004
Imre Kertész, Hungary, Literature, 2002
George Andrew Olah, Hungary, Chemistry, 1994
Dennis Gabor, Hungary, Physics, 1971
Eugene Wigner, Hungary, Physics, 1963
Georg von Békésy, Hungary, Physiology or Medicine, 1961
George de Hevesy, Hungary, Chemistry, 1943
Albert Szent-Györgyi, Hungary, Physiology or Medicine, 1937
Halldór Laxness, Iceland, Literature, 1955
Kailash Satyarthi, India, Peace, 2014
Venkatraman Ramakrishnan, India, Chemistry, 2009
Amartya Sen, India, Economic Sciences, 1998
Subrahmanyan Chandrasekhar, India, Physics, 1983
Mother Teresa, India, Peace, 1979
Har Gobind Khorana, India, Physiology or Medicine, 1968
C. V. Raman, India, Physics, 1930
Rabindranath Tagore, India, Literature, 1913
Rudyard Kipling, India, Literature, 1907
Ronald Ross, India, Physiology or Medicine, 1902
